round,family,name,hold,sl,tp,tr_trades,tr_pf,tr_mean_bp,tr_t,va_trades,va_pf,va_mean_bp,va_t,status
964,F5_TripleScreen,Elder_WR75_H16_SL7,16,0.07,0.14,6410,0.79,-46.2,-1.19,2170,0.67,-55.6,-1.64,FAIL
965,F5_TripleScreen,Elder_WR75_H16_SL8,16,0.08,0.18,6308,0.79,-45.5,-1.11,2144,0.67,-54.8,-1.6,FAIL
966,F5_TripleScreen,Elder_WR75_H24_SL5,24,0.05,0.12,6410,0.84,-37.3,-0.99,1954,0.76,-46.3,-1.26,FAIL
967,F5_TripleScreen,Elder_WR75_H24_SL7,24,0.07,0.14,5942,0.81,-46.8,-1.08,1867,0.71,-57.7,-1.58,FAIL
968,F5_TripleScreen,Elder_WR75_H24_SL8,24,0.08,0.18,5820,0.81,-46.1,-1.01,1826,0.69,-60.7,-1.71,FAIL
969,F5_TripleScreen,Elder_WR70_H10_SL5,10,0.05,0.12,9519,0.73,-43.9,-1.78,3117,0.77,-27.9,-1.32,FAIL
970,F5_TripleScreen,Elder_WR70_H10_SL7,10,0.07,0.14,9219,0.72,-47.4,-1.76,3058,0.76,-28.7,-1.37,FAIL
971,F5_TripleScreen,Elder_WR70_H10_SL8,10,0.08,0.18,9139,0.72,-48.6,-1.74,3044,0.76,-28.7,-1.37,FAIL
972,F5_TripleScreen,Elder_WR70_H16_SL5,16,0.05,0.12,8107,0.8,-40.8,-1.3,2674,0.7,-47.9,-1.53,FAIL
973,F5_TripleScreen,Elder_WR70_H16_SL7,16,0.07,0.14,7595,0.78,-46.3,-1.32,2604,0.7,-50.4,-1.54,FAIL
974,F5_TripleScreen,Elder_WR70_H16_SL8,16,0.08,0.18,7476,0.79,-45.5,-1.23,2583,0.7,-50.1,-1.52,FAIL
975,F5_TripleScreen,Elder_WR70_H24_SL5,24,0.05,0.12,7552,0.85,-34.0,-0.97,2336,0.77,-43.3,-1.19,FAIL
976,F5_TripleScreen,Elder_WR70_H24_SL7,24,0.07,0.14,6960,0.83,-40.7,-1.02,2218,0.73,-52.8,-1.45,FAIL
977,F5_TripleScreen,Elder_WR70_H24_SL8,24,0.08,0.18,6818,0.85,-37.7,-0.89,2177,0.72,-56.6,-1.55,FAIL
978,F5_TripleScreen,Elder_BTC_var978,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
979,F5_TripleScreen,Elder_BTC_var979,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
980,F5_TripleScreen,Elder_BTC_var980,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
981,F5_TripleScreen,Elder_BTC_var981,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
982,F5_TripleScreen,Elder_BTC_var982,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
983,F5_TripleScreen,Elder_BTC_var983,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
984,F5_TripleScreen,Elder_BTC_var984,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
985,F5_TripleScreen,Elder_BTC_var985,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
986,F5_TripleScreen,Elder_BTC_var986,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
987,F5_TripleScreen,Elder_BTC_var987,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
988,F5_TripleScreen,Elder_BTC_var988,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
989,F5_TripleScreen,Elder_BTC_var989,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
990,F5_TripleScreen,Elder_BTC_var990,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
991,F5_TripleScreen,Elder_BTC_var991,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
992,F5_TripleScreen,Elder_BTC_var992,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
993,F5_TripleScreen,Elder_BTC_var993,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
994,F5_TripleScreen,Elder_BTC_var994,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
995,F5_TripleScreen,Elder_BTC_var995,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
996,F5_TripleScreen,Elder_BTC_var996,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
997,F5_TripleScreen,Elder_BTC_var997,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
998,F5_TripleScreen,Elder_BTC_var998,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
999,F5_TripleScreen,Elder_BTC_var999,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
1000,F5_TripleScreen,Elder_BTC_var1000,18,0.07,0.14,2043,0.88,-24.9,-0.46,443,0.6,-73.2,-1.09,FAIL
1001,F6_MacroAltRS,RS_Lead_H12_SL6,12,0.06,0.12,291,3.08,213.6,2.29,121,1.65,68.8,1.14,FAIL
1002,F6_MacroAltRS,RS_Lead_H12_SL7,12,0.07,0.14,291,3.02,208.4,2.36,121,1.79,80.1,1.3,FAIL
1003,F6_MacroAltRS,RS_Lead_H12_SL8,12,0.08,0.16,291,2.96,206.2,2.32,121,1.84,83.6,1.36,FAIL
1004,F6_MacroAltRS,RS_Lead_H18_SL6,18,0.06,0.12,291,3.51,274.3,2.63,121,1.27,40.7,0.52,FAIL
1005,F6_MacroAltRS,RS_Lead_H18_SL7,18,0.07,0.14,291,3.68,284.2,2.63,121,1.29,45.3,0.56,FAIL
1006,F6_MacroAltRS,RS_Lead_H18_SL8,18,0.08,0.16,291,3.75,292.6,2.5,121,1.32,48.8,0.6,FAIL
1007,F6_MacroAltRS,RS_Lead_H24_SL6,24,0.06,0.12,288,2.93,295.3,2.54,121,1.28,54.1,0.49,FAIL
1008,F6_MacroAltRS,RS_Lead_H24_SL7,24,0.07,0.14,288,2.95,298.8,2.47,121,1.21,44.3,0.39,FAIL
1009,F6_MacroAltRS,RS_Lead_H24_SL8,24,0.08,0.16,288,2.94,299.1,2.35,121,1.17,37.2,0.32,FAIL
1010,F6_MacroAltRS,RS_Lead_LowVol_Only_H12_SL6,12,0.06,0.12,136,1.4,60.9,0.6,40,1.14,17.0,0.28,FAIL
1011,F6_MacroAltRS,RS_Lead_LowVol_Only_H12_SL7,12,0.07,0.14,136,1.41,62.9,0.62,40,1.18,21.2,0.36,FAIL
1012,F6_MacroAltRS,RS_Lead_LowVol_Only_H12_SL8,12,0.08,0.16,136,1.46,72.2,0.68,40,1.15,18.7,0.32,FAIL
1013,F6_MacroAltRS,RS_Lead_LowVol_Only_H18_SL6,18,0.06,0.12,136,1.97,143.1,1.52,40,0.89,-14.5,-0.21,FAIL
1014,F6_MacroAltRS,RS_Lead_LowVol_Only_H18_SL7,18,0.07,0.14,136,2.15,159.1,1.64,40,0.89,-15.7,-0.23,FAIL
1015,F6_MacroAltRS,RS_Lead_LowVol_Only_H18_SL8,18,0.08,0.16,136,2.22,169.8,1.64,40,0.88,-17.4,-0.25,FAIL
1016,F6_MacroAltRS,RS_Lead_LowVol_Only_H24_SL6,24,0.06,0.12,134,2.27,233.7,1.58,40,0.77,-44.1,-0.61,FAIL
1017,F6_MacroAltRS,RS_Lead_LowVol_Only_H24_SL7,24,0.07,0.14,134,2.29,235.5,1.59,40,0.74,-51.2,-0.67,FAIL
1018,F6_MacroAltRS,RS_Lead_LowVol_Only_H24_SL8,24,0.08,0.16,134,2.33,248.4,1.58,40,0.71,-57.6,-0.77,FAIL
1019,F6_MacroAltRS,All_Alts_H12_SL6,12,0.06,0.12,629,1.95,119.4,1.58,440,0.89,-18.3,-0.28,FAIL
1020,F6_MacroAltRS,All_Alts_H12_SL7,12,0.07,0.14,629,1.89,115.4,1.51,440,0.95,-8.9,-0.13,FAIL
1021,F6_MacroAltRS,All_Alts_H12_SL8,12,0.08,0.16,629,1.82,110.1,1.4,440,0.98,-2.6,-0.04,FAIL
1022,F6_MacroAltRS,All_Alts_H18_SL6,18,0.06,0.12,628,2.17,160.4,1.87,434,1.05,9.4,0.12,FAIL
1023,F6_MacroAltRS,All_Alts_H18_SL7,18,0.07,0.14,628,2.22,166.5,1.85,434,1.1,17.1,0.21,FAIL
1024,F6_MacroAltRS,All_Alts_H18_SL8,18,0.08,0.16,628,2.16,164.1,1.74,434,1.19,32.0,0.38,FAIL
1025,F6_MacroAltRS,All_Alts_H24_SL6,24,0.06,0.12,619,2.05,174.3,1.93,431,0.96,-9.8,-0.11,FAIL
1026,F6_MacroAltRS,All_Alts_H24_SL7,24,0.07,0.14,619,2.03,174.5,1.83,431,0.96,-9.9,-0.1,FAIL
1027,F6_MacroAltRS,All_Alts_H24_SL8,24,0.08,0.16,619,1.95,165.7,1.68,431,1.02,4.8,0.05,FAIL
1028,F6_MacroAltRS,All_Alts_LowVol_Only_H12_SL6,12,0.06,0.12,325,0.83,-29.6,-0.37,104,0.47,-96.7,-1.5,FAIL
1029,F6_MacroAltRS,All_Alts_LowVol_Only_H12_SL7,12,0.07,0.14,325,0.81,-34.7,-0.4,104,0.48,-90.7,-1.44,FAIL
1030,F6_MacroAltRS,All_Alts_LowVol_Only_H12_SL8,12,0.08,0.16,325,0.8,-37.9,-0.4,104,0.49,-89.4,-1.43,FAIL
1031,F6_MacroAltRS,All_Alts_LowVol_Only_H18_SL6,18,0.06,0.12,325,1.12,21.8,0.27,103,0.43,-111.7,-1.34,FAIL
1032,F6_MacroAltRS,All_Alts_LowVol_Only_H18_SL7,18,0.07,0.14,325,1.16,27.3,0.31,103,0.42,-115.7,-1.34,FAIL
1033,F6_MacroAltRS,All_Alts_LowVol_Only_H18_SL8,18,0.08,0.16,325,1.15,26.7,0.28,103,0.43,-112.1,-1.29,FAIL
1034,F6_MacroAltRS,All_Alts_LowVol_Only_H24_SL6,24,0.06,0.12,317,1.36,73.9,0.72,103,0.33,-179.6,-1.36,FAIL
1035,F6_MacroAltRS,All_Alts_LowVol_Only_H24_SL7,24,0.07,0.14,317,1.35,73.4,0.66,103,0.32,-194.1,-1.37,FAIL
1036,F6_MacroAltRS,All_Alts_LowVol_Only_H24_SL8,24,0.08,0.16,317,1.33,71.6,0.59,103,0.32,-193.3,-1.3,FAIL
1037,F6_MacroAltRS,RS_Squeeze_var1037,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1038,F6_MacroAltRS,RS_Squeeze_var1038,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1039,F6_MacroAltRS,RS_Squeeze_var1039,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1040,F6_MacroAltRS,RS_Squeeze_var1040,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1041,F6_MacroAltRS,RS_Squeeze_var1041,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1042,F6_MacroAltRS,RS_Squeeze_var1042,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1043,F6_MacroAltRS,RS_Squeeze_var1043,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1044,F6_MacroAltRS,RS_Squeeze_var1044,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1045,F6_MacroAltRS,RS_Squeeze_var1045,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1046,F6_MacroAltRS,RS_Squeeze_var1046,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1047,F6_MacroAltRS,RS_Squeeze_var1047,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1048,F6_MacroAltRS,RS_Squeeze_var1048,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1049,F6_MacroAltRS,RS_Squeeze_var1049,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
1050,F6_MacroAltRS,RS_Squeeze_var1050,18,0.07,0.14,2288,1.74,138.9,2.4,518,1.65,102.8,1.27,PASS_TRAIN_ONLY
