round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
423,Taker Absorb dip<-4% tr>60% H=12,194,46.77,-24.86,0.49,1.237,0.82,0.71,REJECT
424,Taker Absorb dip<-4% tr>60% H=18,194,38.93,39.18,0.531,1.182,0.67,0.71,REJECT
425,Taker Absorb dip<-4% tr>65% H=12,14,358.04,167.25,0.643,5.241,1.94,0.05,REJECT
426,Stealth RVOL>3.0x Break H=18,3684,-15.15,-50.93,0.454,0.935,-0.31,13.49,REJECT
427,Stealth RVOL>3.0x Break H=24,3646,-27.66,-52.88,0.459,0.891,-0.7,13.36,REJECT
428,Stealth RVOL>3.0x Break H=36,3492,-8.66,-31.7,0.474,0.97,-0.18,12.79,REJECT
429,Stealth RVOL>4.0x Break H=18,1821,5.56,-48.82,0.46,1.023,0.08,6.67,REJECT
430,Stealth RVOL>4.0x Break H=24,1813,-18.69,-55.4,0.455,0.93,-0.36,6.64,REJECT
431,Stealth RVOL>4.0x Break H=36,1778,-15.06,-36.59,0.467,0.95,-0.26,6.51,REJECT
432,Stealth RVOL>5.0x Break H=18,971,23.49,-45.21,0.462,1.091,0.28,3.56,REJECT
433,Stealth RVOL>5.0x Break H=24,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
434,Stealth RVOL>5.0x Break H=36,961,-14.24,-61.13,0.461,0.957,-0.18,3.52,REJECT
435,Stealth RVOL Variant 435,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
436,Stealth RVOL Variant 436,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
437,Stealth RVOL Variant 437,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
438,Stealth RVOL Variant 438,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
439,Stealth RVOL Variant 439,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
440,Stealth RVOL Variant 440,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT
441,Vol Climax Pin SL=2.0% TP=4.0% H=18,1766,-35.76,-220.0,0.321,0.753,-1.55,6.47,REJECT
442,Vol Climax Pin SL=2.0% TP=4.0% H=24,1766,-40.54,-220.0,0.309,0.73,-1.77,6.47,REJECT
443,Vol Climax Pin SL=2.5% TP=5.0% H=18,1761,-26.95,-270.0,0.348,0.837,-0.92,6.45,REJECT
444,Vol Climax Pin SL=2.5% TP=5.0% H=24,1761,-34.65,-270.0,0.334,0.803,-1.17,6.45,REJECT
445,Vol Climax Pin SL=3.0% TP=6.0% H=18,1758,-15.61,-320.0,0.374,0.913,-0.43,6.44,REJECT
446,Vol Climax Pin SL=3.0% TP=6.0% H=24,1758,-26.61,-320.0,0.357,0.864,-0.7,6.44,REJECT
447,Vol Climax Pin SL=3.5% TP=7.0% H=18,1752,-0.13,-189.23,0.4,0.999,-0.0,6.42,REJECT
448,Vol Climax Pin SL=3.5% TP=7.0% H=24,1752,-11.02,-370.0,0.384,0.948,-0.24,6.42,REJECT
449,Vol Climax Pin SL=4.0% TP=8.0% H=18,1743,3.92,-148.82,0.414,1.019,0.08,6.38,REJECT
450,Vol Climax Pin SL=4.0% TP=8.0% H=24,1743,-15.02,-420.0,0.39,0.935,-0.29,6.38,REJECT
