hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
60,142,16.31,22.14,0.599,1.421,40,2.22,0.11,0.5,40,0.5201465201465202
120,141,6.49,4.02,0.532,1.131,40,33.98,1.06,0.475,40,0.5164835164835165
240,141,-24.97,-29.76,0.39,0.691,40,32.71,0.71,0.475,40,0.5164835164835165
