hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
480,1647,-29.38,7.97,0.512,0.843,130,-29.13,-0.98,0.523,130,6.032967032967033
960,1303,-29.87,15.96,0.526,0.886,130,-40.57,-0.83,0.5,130,4.772893772893773
