lb,h,n,arm,n_periods,mean_bp,sum_bp,win,pf,day_mean_bp,day_t,days_pos,sharpe
4,4,5,momentum,1636,-13.654441538614805,-22338.66635717382,0.41503667481662593,0.7829879063746193,-81.82661669294438,-3.4290373958527685,0.34798534798534797,-3.8204842831232195
4,4,5,reversal,1636,-21.252648925932874,-34769.33364282618,0.45843520782396086,0.6783385165697938,-127.3601964938688,-5.421074851194799,0.3663003663003663,-5.944747977753871
4,4,10,momentum,1636,-15.726294038961463,-25728.217047740953,0.38386308068459657,0.6568433148468459,-94.24255328842841,-5.863092073839943,0.31135531135531136,-6.770110190311713
4,4,10,reversal,1636,-17.91429275810455,-29307.782952259047,0.4223716381418093,0.6125068235414711,-107.35451630864121,-6.838170016356518,0.3333333333333333,-7.726282107863459
4,8,5,momentum,818,-12.997678756909108,-10632.10122315165,0.45232273838630804,0.83358489027145,-38.94542572583023,-1.797597811174609,0.46153846153846156,-2.056409620999439
4,8,5,reversal,818,-22.43019410372659,-18347.89877684835,0.4474327628361858,0.7294162045539544,-67.20842042801593,-3.1193189701307253,0.4249084249084249,-3.547575944397186
4,8,10,momentum,818,-14.019124879349166,-11467.644151307617,0.4290953545232274,0.7527618819779479,-42.00602253226234,-2.715063854506072,0.4175824175824176,-3.2672663666710156
4,8,10,reversal,818,-19.90508049962394,-16282.355848692383,0.42665036674816625,0.6660082158607035,-59.64232911608931,-3.878759396093872,0.40293040293040294,-4.637277347673001
12,4,5,momentum,1634,-9.27395038866999,-15153.634935086764,0.45471236230110157,0.8445186937175888,-55.507820275043095,-2.313728540330571,0.39194139194139194,-2.614620021588067
12,4,5,reversal,1634,-12.801937004230869,-20918.36506491324,0.4749082007343941,0.7913179305180634,-76.62404785682504,-3.238556545199837,0.42124542124542125,-3.6069243549120875
12,4,10,momentum,1634,-8.573559893165765,-14009.196865432861,0.43023255813953487,0.7975476009830549,-51.31573943382001,-3.1016483763276104,0.38461538461538464,-3.634526524242862
12,4,10,reversal,1634,-12.196329947715508,-19928.80313456714,0.4583843329253366,0.7218128248476376,-72.99927888119832,-4.510232811257542,0.39194139194139194,-5.167933456305693
12,8,5,momentum,817,-9.501649944254853,-7762.848004456214,0.43329253365973075,0.8764923998802411,-28.435340675663777,-1.2748618555180327,0.4065934065934066,-1.5086476018504809
12,8,5,reversal,817,-20.544861683652126,-16785.151995543787,0.4724602203182375,0.7494227764637889,-61.48407324375014,-2.7802523398102497,0.47985347985347987,-3.2636927043707447
12,8,10,momentum,817,-8.605930102802802,-7031.044893989889,0.43329253365973075,0.8406735583118788,-25.754743201428163,-1.6305446688885614,0.3882783882783883,-1.9920958606417134
12,8,10,reversal,817,-20.103984217882633,-16424.95510601011,0.4614443084455324,0.6603941787837181,-60.16467071798576,-3.857554399881742,0.4065934065934066,-4.659513068502285
24,4,5,momentum,1631,-5.571049185560848,-9086.381221649743,0.46045370938074803,0.903682125963538,-33.40581331488877,-1.4967468923180336,0.40808823529411764,-1.6287932881752858
24,4,5,reversal,1631,-10.674199128356996,-17409.61877835026,0.4892703862660944,0.8223735570554332,-64.0059513909936,-2.9118462971621693,0.4522058823529412,-3.1234519453110234
24,4,10,momentum,1631,-5.815292530530202,-9484.74211729476,0.45064377682403434,0.85856610963531,-34.870375431230734,-2.2116712296225667,0.4338235294117647,-2.4879468463226937
24,4,10,reversal,1631,-9.1730581745587,-14961.257882705238,0.4702636419374617,0.784169118343455,-55.00462456876926,-3.574117407885653,0.3897058823529412,-3.930528477718441
24,8,5,momentum,815,-14.38672586613808,-11725.181580902536,0.44539877300613495,0.8262167679215069,-43.10728522390637,-2.029688782383621,0.4007352941176471,-2.2917625759181557
24,8,5,reversal,815,-7.9936422320214335,-6514.818419097468,0.5079754601226993,0.8986592711364054,-23.95153830550539,-1.13882833739698,0.47794117647058826,-1.272896005227155
24,8,10,momentum,815,-10.50461175906908,-8561.2585836413,0.4269938650306748,0.8213330674327475,-31.475215381034197,-2.0746994970946253,0.4411764705882353,-2.361146311723052
24,8,10,reversal,815,-10.307658179581226,-8400.7414163587,0.48466257668711654,0.8223960738676709,-30.88507873661287,-2.067893861335545,0.41544117647058826,-2.320384218276093
