round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
706,FVG+ST Variant 706,597,-47.0,-148.95,0.377,0.84,-0.82,2.19,REJECT
707,FVG+ST Variant 707,597,-47.0,-148.95,0.377,0.84,-0.82,2.19,REJECT
708,FVG+ST Variant 708,597,-47.0,-148.95,0.377,0.84,-0.82,2.19,REJECT
709,FVG+ST Variant 709,597,-47.0,-148.95,0.377,0.84,-0.82,2.19,REJECT
710,FVG+ST Variant 710,597,-47.0,-148.95,0.377,0.84,-0.82,2.19,REJECT
711,MF Composite Score>=4.0 H=18,24654,-3.64,-13.65,0.487,0.981,-0.26,90.31,REJECT
712,MF Composite Score>=4.0 H=24,21054,-4.15,-14.18,0.488,0.981,-0.24,77.12,REJECT
713,MF Composite Score>=4.0 H=36,16502,-17.8,-20.0,0.485,0.939,-0.73,60.45,REJECT
714,MF Composite Score>=4.5 H=18,34768,-16.19,-28.66,0.468,0.919,-0.98,127.36,REJECT
715,MF Composite Score>=4.5 H=24,29090,-18.38,-31.56,0.471,0.921,-0.94,106.56,REJECT
716,MF Composite Score>=4.5 H=36,21793,-28.92,-42.94,0.465,0.898,-1.16,79.83,REJECT
717,MF Composite Score>=5.0 H=18,33642,-15.52,-28.48,0.469,0.922,-0.92,123.23,REJECT
718,MF Composite Score>=5.0 H=24,28183,-17.31,-31.02,0.472,0.926,-0.88,103.23,REJECT
719,MF Composite Score>=5.0 H=36,21189,-24.69,-38.18,0.468,0.913,-0.99,77.62,REJECT
720,MF Composite Score>=5.5 H=18,24262,-17.0,-35.68,0.463,0.919,-0.76,88.87,REJECT
721,MF Composite Score>=5.5 H=24,20983,-20.96,-43.02,0.463,0.914,-0.79,76.86,REJECT
722,MF Composite Score>=5.5 H=36,16713,-15.2,-49.19,0.466,0.948,-0.44,61.22,REJECT
723,MF Score Variant 723,20983,-20.96,-43.02,0.463,0.914,-0.79,76.86,REJECT
724,MF Score Variant 724,20983,-20.96,-43.02,0.463,0.914,-0.79,76.86,REJECT
725,MF Score Variant 725,20983,-20.96,-43.02,0.463,0.914,-0.79,76.86,REJECT
726,Breadth Regime Switch DualArm H=12,23007,-11.87,-32.54,0.46,0.935,-0.46,84.27,REJECT
727,Breadth Switch SL=2.5% TP=5% H=12,29831,-10.56,-202.88,0.393,0.926,-0.83,109.27,REJECT
728,Breadth Switch SL=3.0% TP=6% H=12,28022,-7.47,-107.19,0.412,0.951,-0.49,102.64,REJECT
729,Breadth Regime Switch DualArm H=18,19858,-10.05,-29.64,0.469,0.954,-0.32,72.74,REJECT
730,Breadth Switch SL=2.5% TP=5% H=18,28660,-8.42,-270.0,0.384,0.945,-0.61,104.98,REJECT
731,Breadth Switch SL=3.0% TP=6% H=18,26470,-5.67,-225.02,0.4,0.966,-0.34,96.96,REJECT
732,Breadth Regime Switch DualArm H=24,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
733,Breadth Switch SL=2.5% TP=5% H=24,27999,-4.65,-270.0,0.376,0.971,-0.33,102.56,REJECT
734,Breadth Switch SL=3.0% TP=6% H=24,25543,-0.4,-320.0,0.392,0.998,-0.02,93.56,REJECT
735,Breadth Variant 735,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
736,Breadth Variant 736,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
737,Breadth Variant 737,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
738,Breadth Variant 738,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
739,Breadth Variant 739,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
740,Breadth Variant 740,17726,-4.67,-39.45,0.468,0.981,-0.14,64.93,REJECT
741,Master Finalist SL=2.0% TP=4.0% H=24,155,56.38,-8.55,0.49,1.579,1.45,0.57,REJECT
742,Master Finalist SL=2.0% TP=4.0% H=36,154,71.04,-17.57,0.5,1.685,1.66,0.56,PASS_TRAIN
743,Master Finalist SL=2.5% TP=5.0% H=24,153,80.96,16.1,0.516,1.758,1.6,0.56,PASS_TRAIN
744,Master Finalist SL=2.5% TP=5.0% H=36,152,103.6,97.4,0.526,1.894,1.86,0.56,PASS_TRAIN
745,Master Finalist SL=3.0% TP=6.0% H=24,152,93.15,25.93,0.52,1.794,1.57,0.56,PASS_TRAIN
746,Master Finalist SL=3.0% TP=6.0% H=36,151,124.11,122.18,0.536,1.991,1.88,0.55,PASS_TRAIN
747,Master Finalist SL=3.5% TP=7.0% H=24,151,149.82,79.81,0.57,2.361,2.06,0.55,PASS_TRAIN
748,Master Finalist SL=3.5% TP=7.0% H=36,150,187.54,185.54,0.593,2.553,2.39,0.55,PASS_TRAIN
749,Master Finalist SL=4.0% TP=8.0% H=24,151,180.9,93.86,0.583,2.613,2.13,0.55,PASS_TRAIN
750,Master Finalist SL=4.0% TP=8.0% H=36,150,222.2,195.2,0.6,2.751,2.45,0.55,PASS_TRAIN
