hold_m,arm,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
60,both,43761,-23.74,-26.93,0.37,0.61,273,-26.43,-13.36,0.176,273,160.2967032967033
60,long,18406,-20.4,-26.96,0.362,0.653,273,-30.98,-11.37,0.187,273,67.42124542124542
60,short,25417,-26.2,-26.93,0.375,0.581,273,-38.13,-12.6,0.205,273,93.1025641025641
120,both,39216,-22.34,-27.37,0.402,0.711,273,-26.1,-9.05,0.264,273,143.64835164835165
120,long,16899,-19.61,-27.36,0.396,0.737,273,-36.5,-8.89,0.264,273,61.9010989010989
120,short,22783,-24.15,-27.45,0.407,0.696,273,-44.25,-9.14,0.238,273,83.45421245421245
240,both,33176,-21.12,-27.18,0.431,0.789,273,-25.0,-5.55,0.319,273,121.52380952380952
240,long,15183,-14.6,-27.27,0.424,0.844,273,-43.45,-6.78,0.33,273,55.61538461538461
240,short,19830,-25.92,-27.08,0.435,0.753,273,-56.57,-7.07,0.286,273,72.63736263736264
