pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
OM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ONDO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
OP_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
ORDI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
PENGU_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
PNUT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
POPCAT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
SEI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
SOL_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
SPX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
SUI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
S_USDT_USDT,,2025-01-16 10:00:00+00:00,2026-08-31 23:59:00+00:00,853320,0,0 days 00:01:00,2025-01-16 12:00:00+00:00,0,0
TAO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
TIA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,874080,1,1 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
TON_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
TRUMP_USDT_USDT,,2025-01-18 13:00:00+00:00,2026-08-31 23:59:00+00:00,850260,0,0 days 00:01:00,2025-01-18 16:00:00+00:00,0,0
TRX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
UNI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
VIRTUAL_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
WIF_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
WLD_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
XLM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
XRP_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:59:00+00:00,875520,0,0 days 00:01:00,2025-01-01 00:00:00+00:00,0,0
