round,family,name,hold_l,hold_s,sl_l,sl_s,tp_l,tp_s,tr_n,tr_pf,tr_mean_bp,tr_t,tr_win,tr_n_l,tr_pf_l,tr_n_s,tr_pf_s,va_n,va_pf,va_mean_bp,va_t,va_win,va_n_l,va_pf_l,va_n_s,va_pf_s,ho_n,ho_pf,ho_mean_bp,ho_t,ho_win,ho_n_l,ho_pf_l,ho_n_s,ho_pf_s,status
1831,B4_Trapped_Long_Breakdown,Trapped_var1831,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1832,B4_Trapped_Long_Breakdown,Trapped_var1832,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1833,B4_Trapped_Long_Breakdown,Trapped_var1833,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1834,B4_Trapped_Long_Breakdown,Trapped_var1834,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1835,B4_Trapped_Long_Breakdown,Trapped_var1835,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1836,B4_Trapped_Long_Breakdown,Trapped_var1836,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1837,B4_Trapped_Long_Breakdown,Trapped_var1837,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1838,B4_Trapped_Long_Breakdown,Trapped_var1838,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1839,B4_Trapped_Long_Breakdown,Trapped_var1839,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1840,B4_Trapped_Long_Breakdown,Trapped_var1840,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1841,B4_Trapped_Long_Breakdown,Trapped_var1841,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1842,B4_Trapped_Long_Breakdown,Trapped_var1842,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1843,B4_Trapped_Long_Breakdown,Trapped_var1843,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1844,B4_Trapped_Long_Breakdown,Trapped_var1844,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1845,B4_Trapped_Long_Breakdown,Trapped_var1845,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1846,B4_Trapped_Long_Breakdown,Trapped_var1846,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1847,B4_Trapped_Long_Breakdown,Trapped_var1847,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1848,B4_Trapped_Long_Breakdown,Trapped_var1848,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1849,B4_Trapped_Long_Breakdown,Trapped_var1849,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1850,B4_Trapped_Long_Breakdown,Trapped_var1850,12,24,0.06,0.07,0.1,0.16,76,2.36,89.5,2.33,65.8,76,2.36,0,0.0,4,0.0,-428.2,-3.72,0.0,4,0.0,0,0.0,131,1.09,8.7,0.28,42.7,131,1.09,0,0.0,FAIL
1851,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs20,12,20,0.06,0.07,0.1,0.16,7221,0.94,-12.7,-0.33,45.2,192,2.4,7029,0.92,4856,1.15,23.2,0.61,51.6,42,1.73,4814,1.15,5053,0.79,-30.9,-1.19,46.4,142,1.05,4911,0.79,FAIL
1852,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs20,12,20,0.06,0.08,0.1,0.2,7128,0.93,-15.3,-0.39,45.8,190,2.53,6938,0.91,4826,1.15,23.6,0.6,51.8,40,1.68,4786,1.15,5027,0.8,-28.9,-1.12,46.6,142,1.05,4885,0.8,FAIL
1853,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs28,12,28,0.06,0.07,0.1,0.16,6468,0.97,-6.2,-0.14,44.7,190,2.37,6278,0.95,4243,1.17,33.1,0.62,50.3,42,1.73,4201,1.17,4391,0.76,-42.4,-1.34,44.8,142,1.05,4249,0.75,FAIL
1854,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs28,12,28,0.06,0.08,0.1,0.2,6357,0.97,-7.2,-0.16,45.5,190,2.44,6167,0.95,4185,1.18,34.8,0.63,50.9,40,1.68,4145,1.18,4364,0.76,-42.0,-1.34,45.1,141,1.06,4223,0.76,FAIL
1855,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs36,12,36,0.06,0.07,0.1,0.16,5864,0.99,-4.0,-0.08,44.5,191,2.31,5673,0.96,3834,1.27,55.5,0.95,53.1,42,1.73,3792,1.27,3988,0.81,-36.3,-1.0,44.9,142,1.05,3846,0.81,FAIL
1856,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs36,12,36,0.06,0.08,0.1,0.2,5708,0.98,-6.1,-0.12,45.6,187,2.57,5521,0.95,3767,1.29,58.3,0.97,53.7,40,1.68,3727,1.29,3956,0.81,-36.1,-0.99,45.3,141,1.06,3815,0.81,FAIL
1857,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs20,12,20,0.06,0.07,0.1,0.16,1116,1.38,90.3,1.75,50.9,196,2.31,920,1.28,567,1.35,67.4,1.45,52.6,45,2.06,522,1.32,852,0.78,-34.1,-1.49,46.8,143,1.06,709,0.74,FAIL
1858,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs20,12,20,0.06,0.08,0.1,0.2,1066,1.37,90.6,1.77,52.3,196,2.31,870,1.27,555,1.34,66.8,1.4,53.0,44,2.09,511,1.3,846,0.77,-35.1,-1.51,46.9,143,1.06,703,0.73,FAIL
1859,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs28,12,28,0.06,0.07,0.1,0.16,1068,1.36,93.9,1.75,50.0,196,2.31,872,1.27,542,1.29,66.4,1.26,53.0,45,2.06,497,1.26,820,0.81,-33.0,-1.13,47.4,143,1.06,677,0.78,FAIL
1860,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs28,12,28,0.06,0.08,0.1,0.2,1012,1.33,89.0,1.66,51.3,196,2.31,816,1.23,524,1.28,66.0,1.23,54.4,44,2.09,480,1.25,815,0.8,-34.9,-1.18,47.6,142,1.08,673,0.76,FAIL
1861,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs36,12,36,0.06,0.07,0.1,0.16,1048,1.38,104.1,1.94,50.2,196,2.31,852,1.29,524,1.4,92.9,1.65,53.8,45,2.06,479,1.38,809,0.79,-40.0,-1.33,44.9,143,1.06,666,0.76,PASS_TRAIN_VALID
1862,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs36,12,36,0.06,0.08,0.1,0.2,982,1.33,95.4,1.79,51.6,195,2.37,787,1.23,506,1.37,88.7,1.54,54.7,44,2.09,462,1.34,803,0.8,-37.8,-1.24,45.6,142,1.08,661,0.77,PASS_TRAIN_VALID
1863,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs20,12,20,0.06,0.07,0.1,0.16,7062,0.94,-12.8,-0.32,45.4,192,2.4,6870,0.92,4782,1.15,23.1,0.6,51.7,42,1.73,4740,1.15,4997,0.78,-31.9,-1.21,46.2,142,1.05,4855,0.78,FAIL
1864,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs20,12,20,0.06,0.08,0.1,0.2,6978,0.92,-16.8,-0.42,45.9,190,2.53,6788,0.9,4754,1.15,23.3,0.59,51.9,40,1.68,4714,1.15,4974,0.79,-30.0,-1.14,46.5,142,1.05,4832,0.79,FAIL
1865,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs28,12,28,0.06,0.07,0.1,0.16,6328,0.98,-5.5,-0.12,44.9,190,2.37,6138,0.96,4182,1.19,35.6,0.65,50.5,42,1.73,4140,1.18,4345,0.75,-44.5,-1.4,44.8,142,1.05,4203,0.74,FAIL
1866,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs28,12,28,0.06,0.08,0.1,0.2,6236,0.97,-7.8,-0.17,45.7,190,2.44,6046,0.95,4131,1.19,36.7,0.66,51.0,40,1.68,4091,1.19,4319,0.75,-43.7,-1.39,45.1,141,1.06,4178,0.75,FAIL
1867,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs36,12,36,0.06,0.07,0.1,0.16,5735,0.99,-2.8,-0.06,44.7,191,2.31,5544,0.97,3780,1.28,56.5,0.95,53.3,42,1.73,3738,1.28,3945,0.81,-36.2,-0.98,45.0,142,1.05,3803,0.81,FAIL
1868,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagTrue_Hs36,12,36,0.06,0.08,0.1,0.2,5603,0.98,-5.8,-0.12,45.7,188,2.5,5415,0.96,3717,1.29,58.2,0.96,53.8,40,1.68,3677,1.29,3918,0.81,-36.7,-0.99,45.4,141,1.06,3777,0.8,FAIL
1869,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs20,12,20,0.06,0.07,0.1,0.16,926,1.45,104.1,1.8,52.8,196,2.31,730,1.34,476,1.38,70.9,1.45,53.6,45,2.06,431,1.34,767,0.7,-45.0,-1.87,45.8,143,1.06,624,0.65,FAIL
1870,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs20,12,20,0.06,0.08,0.1,0.2,888,1.39,92.0,1.61,53.9,196,2.31,692,1.27,464,1.39,72.2,1.46,54.3,44,2.09,420,1.34,762,0.69,-47.8,-1.93,45.9,143,1.06,619,0.63,FAIL
1871,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs28,12,28,0.06,0.07,0.1,0.16,896,1.44,107.9,1.82,51.8,196,2.31,700,1.33,463,1.42,87.6,1.56,55.5,45,2.06,418,1.38,754,0.73,-46.4,-1.54,46.8,143,1.06,611,0.69,PASS_TRAIN_VALID
1872,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs28,12,28,0.06,0.08,0.1,0.2,857,1.36,92.0,1.62,52.6,196,2.31,661,1.24,451,1.35,75.9,1.36,56.3,44,2.09,407,1.31,749,0.72,-48.7,-1.58,46.9,142,1.08,607,0.67,FAIL
1873,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs36,12,36,0.06,0.07,0.1,0.16,888,1.46,118.6,1.98,52.1,196,2.31,692,1.35,452,1.45,96.9,1.62,54.9,45,2.06,407,1.42,745,0.77,-42.6,-1.35,45.4,143,1.06,602,0.73,PASS_TRAIN_VALID
1874,B5_AllWeather_Hybrid,AllWeather_Fnd_FlagFalse_Hs36,12,36,0.06,0.08,0.1,0.2,844,1.4,106.0,1.88,53.1,196,2.31,648,1.28,439,1.38,84.2,1.44,55.6,44,2.09,395,1.34,741,0.77,-43.9,-1.37,45.7,142,1.08,599,0.73,FAIL
1875,B5_AllWeather_Hybrid,AllWeather_var1875,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1876,B5_AllWeather_Hybrid,AllWeather_var1876,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1877,B5_AllWeather_Hybrid,AllWeather_var1877,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1878,B5_AllWeather_Hybrid,AllWeather_var1878,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1879,B5_AllWeather_Hybrid,AllWeather_var1879,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1880,B5_AllWeather_Hybrid,AllWeather_var1880,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1881,B5_AllWeather_Hybrid,AllWeather_var1881,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1882,B5_AllWeather_Hybrid,AllWeather_var1882,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1883,B5_AllWeather_Hybrid,AllWeather_var1883,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1884,B5_AllWeather_Hybrid,AllWeather_var1884,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1885,B5_AllWeather_Hybrid,AllWeather_var1885,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1886,B5_AllWeather_Hybrid,AllWeather_var1886,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1887,B5_AllWeather_Hybrid,AllWeather_var1887,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1888,B5_AllWeather_Hybrid,AllWeather_var1888,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1889,B5_AllWeather_Hybrid,AllWeather_var1889,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1890,B5_AllWeather_Hybrid,AllWeather_var1890,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1891,B5_AllWeather_Hybrid,AllWeather_var1891,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1892,B5_AllWeather_Hybrid,AllWeather_var1892,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1893,B5_AllWeather_Hybrid,AllWeather_var1893,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1894,B5_AllWeather_Hybrid,AllWeather_var1894,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1895,B5_AllWeather_Hybrid,AllWeather_var1895,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1896,B5_AllWeather_Hybrid,AllWeather_var1896,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1897,B5_AllWeather_Hybrid,AllWeather_var1897,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1898,B5_AllWeather_Hybrid,AllWeather_var1898,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1899,B5_AllWeather_Hybrid,AllWeather_var1899,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1900,B5_AllWeather_Hybrid,AllWeather_var1900,12,24,0.06,0.07,0.1,0.16,1093,1.35,87.5,1.68,50.0,196,2.31,897,1.25,554,1.39,80.4,1.53,55.4,45,2.06,509,1.36,836,0.8,-33.5,-1.3,46.7,143,1.06,693,0.76,PASS_TRAIN_VALID
1901,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs24_SLs7,8,24,0.05,0.07,0.09,0.16,1291,1.42,97.6,1.67,51.4,194,1.76,1097,1.39,666,1.38,74.3,1.31,55.6,44,1.98,622,1.36,1018,0.75,-41.6,-1.43,46.6,143,0.85,875,0.74,FAIL
1902,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs24_SLs8,8,24,0.05,0.08,0.09,0.2,1235,1.35,83.4,1.6,52.7,193,1.72,1042,1.32,646,1.36,72.7,1.28,56.3,41,2.02,605,1.34,1010,0.75,-41.7,-1.41,46.9,142,0.86,868,0.74,FAIL
1903,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs24_SLs7,8,24,0.06,0.07,0.12,0.16,1290,1.41,97.0,1.66,51.4,193,1.71,1097,1.39,666,1.38,74.2,1.31,55.6,44,1.95,622,1.36,1018,0.75,-42.0,-1.44,46.6,143,0.83,875,0.74,FAIL
1904,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs24_SLs8,8,24,0.06,0.08,0.12,0.2,1234,1.34,82.5,1.59,52.8,192,1.66,1042,1.32,646,1.36,72.7,1.28,56.3,41,1.99,605,1.34,1010,0.75,-42.0,-1.42,46.9,142,0.83,868,0.74,FAIL
1905,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs32_SLs7,8,32,0.05,0.07,0.09,0.16,1248,1.43,109.2,1.81,50.5,194,1.76,1054,1.41,640,1.37,80.4,1.29,53.4,44,1.98,596,1.35,991,0.79,-38.6,-1.22,47.0,143,0.84,848,0.78,FAIL
1906,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs32_SLs8,8,32,0.05,0.08,0.09,0.2,1185,1.34,89.6,1.69,51.6,191,1.74,994,1.31,622,1.34,75.0,1.23,53.9,41,2.02,581,1.32,985,0.8,-36.0,-1.17,47.4,142,0.85,843,0.79,FAIL
1907,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs32_SLs7,8,32,0.06,0.07,0.12,0.16,1247,1.43,108.6,1.8,50.5,193,1.71,1054,1.41,640,1.37,80.3,1.29,53.4,44,1.95,596,1.35,991,0.78,-38.9,-1.23,47.0,143,0.82,848,0.78,FAIL
1908,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs32_SLs8,8,32,0.06,0.08,0.12,0.2,1184,1.34,88.7,1.67,51.7,190,1.68,994,1.31,622,1.34,75.0,1.23,53.9,41,1.99,581,1.32,985,0.79,-36.4,-1.18,47.4,142,0.82,843,0.79,FAIL
1909,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs40_SLs7,8,40,0.05,0.07,0.09,0.16,1229,1.42,112.4,1.82,49.5,194,1.76,1035,1.4,632,1.38,90.1,1.29,52.4,44,1.98,588,1.37,976,0.81,-37.1,-1.06,44.9,142,0.82,834,0.81,FAIL
1910,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs40_SLs8,8,40,0.05,0.08,0.09,0.2,1157,1.34,94.7,1.68,50.3,190,1.78,967,1.31,614,1.34,83.5,1.21,52.8,41,2.02,573,1.32,969,0.81,-37.5,-1.02,45.4,141,0.82,828,0.81,FAIL
1911,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs40_SLs7,8,40,0.06,0.07,0.12,0.16,1228,1.42,111.8,1.81,49.5,193,1.71,1035,1.4,632,1.38,90.0,1.29,52.4,44,1.95,588,1.37,976,0.81,-37.5,-1.07,44.9,142,0.79,834,0.81,FAIL
1912,B6_Asym_RiskReward_Opt,Opt_Hl8_Hs40_SLs8,8,40,0.06,0.08,0.12,0.2,1156,1.34,93.8,1.67,50.3,189,1.72,967,1.31,614,1.34,83.4,1.21,52.8,41,1.99,573,1.32,969,0.81,-37.9,-1.03,45.4,141,0.8,828,0.81,FAIL
1913,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs24_SLs7,12,24,0.05,0.07,0.09,0.16,1290,1.46,108.8,1.84,52.2,194,2.43,1096,1.39,666,1.39,76.5,1.33,55.6,44,2.23,622,1.36,1018,0.77,-38.8,-1.34,46.6,143,1.05,875,0.74,FAIL
1914,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs24_SLs8,12,24,0.05,0.08,0.09,0.2,1234,1.4,95.1,1.8,53.6,193,2.39,1041,1.32,646,1.37,74.5,1.3,56.3,41,2.17,605,1.34,1010,0.77,-38.7,-1.31,46.9,142,1.06,868,0.74,FAIL
1915,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs24_SLs7,12,24,0.06,0.07,0.12,0.16,1289,1.47,111.6,1.87,52.4,193,2.53,1096,1.39,666,1.38,76.1,1.32,55.6,44,2.06,622,1.36,1018,0.77,-38.6,-1.33,46.6,143,1.06,875,0.74,FAIL
1916,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs24_SLs8,12,24,0.06,0.08,0.12,0.2,1233,1.41,97.8,1.84,53.8,192,2.48,1041,1.32,646,1.37,74.1,1.29,56.3,41,2.01,605,1.34,1010,0.77,-38.5,-1.3,46.9,142,1.08,868,0.74,FAIL
1917,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs32_SLs7,12,32,0.05,0.07,0.09,0.16,1247,1.48,120.8,1.98,51.3,194,2.43,1053,1.41,640,1.38,82.7,1.31,53.4,44,2.23,596,1.35,991,0.8,-35.7,-1.13,47.0,143,1.03,848,0.78,FAIL
1918,B6_Asym_RiskReward_Opt,Opt_Hl12_Hs32_SLs8,12,32,0.05,0.08,0.09,0.2,1184,1.39,101.1,1.89,52.4,191,2.37,993,1.31,622,1.35,76.9,1.25,53.9,41,2.17,581,1.32,985,0.81,-33.0,-1.08,47.4,142,1.05,843,0.79,FAIL
