tf,family,q,hold_bars,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,pass_rel,pass_std
5m,F01_mom24|bars,0.998264,12,73,-45.02823625799927,0.654712377934755,-1.403403138427365,0.20110192837465565,1,-55.02823625799927,-45.569404501038,False,False
5m,F01_mom24|bars,0.996528,12,120,-43.36529741320401,0.6263165375946387,-1.8250729355853998,0.3305785123966942,1,-53.36529741320401,-43.27126724804741,False,False
5m,F01_mom24|bars,0.993056,12,226,-29.364768149590027,0.6864015474024728,-2.0110438728307347,0.6225895316804407,0,-39.36476814959002,-29.2617077230225,False,False
5m,F01_mom24|bars,0.986111,12,394,-21.659680147302122,0.7239295324582012,-2.2853897239942365,1.0853994490358128,0,-31.65968014730212,-21.654990818077312,False,False
5m,F01_mom24|clock,0.998264,144,40,-13.723592214724384,0.9465105109932863,-0.13934057670508398,0.11019283746556474,3,-23.723592214724363,-17.47292271855111,False,False
5m,F01_mom24|clock,0.996528,144,63,35.655512529273736,1.1695232791907466,0.5052145963409866,0.17355371900826447,4,25.655512529273736,33.64647455798707,False,False
5m,F01_mom24|clock,0.993056,144,105,-31.67453262632623,0.8659734193485006,-0.5243395674464096,0.2892561983471074,3,-41.674532626326226,-32.00734860373524,False,False
5m,F01_mom24|clock,0.986111,144,160,-12.979412450143178,0.9361981709788549,-0.29420979716011925,0.44077134986225897,2,-22.979412450143183,-12.507078346937275,False,False
5m,F02_rev24|bars,0.998264,12,73,5.02823625799924,1.0493070573956311,0.14823488670589996,0.20110192837465565,2,-4.9717637420007605,5.5694045010379885,False,False
5m,F02_rev24|bars,0.996528,12,120,3.3652974132039857,1.038307003915199,0.13453947276892844,0.3305785123966942,4,-6.634702586796012,3.2712672480473977,False,False
5m,F02_rev24|bars,0.993056,12,226,-10.63523185041,0.8708675418967851,-0.6945534121262853,0.6225895316804407,3,-20.635231850409998,-10.738292276977512,False,False
5m,F02_rev24|bars,0.986111,12,394,-18.3403198526979,0.7559593316354386,-1.7415734866744947,1.0853994490358128,0,-28.340319852697895,-18.345009181922695,False,False
5m,F02_rev24|clock,0.998264,144,40,-26.276407785275623,0.9000606153895643,-0.26830375724415356,0.11019283746556474,3,-36.27640778527563,-22.5270772814489,False,False
5m,F02_rev24|clock,0.996528,144,63,-75.65551252927375,0.7175492171224298,-1.077603849564371,0.17355371900826447,2,-85.65551252927372,-73.64647455798709,False,False
5m,F02_rev24|clock,0.993056,144,105,-8.3254673736738,0.9623984338570505,-0.13722862383012838,0.2892561983471074,3,-18.325467373673796,-7.992651396264771,False,False
5m,F02_rev24|clock,0.986111,144,160,-27.02058754985684,0.8700655068122504,-0.6116230198371184,0.44077134986225897,3,-37.020587549856835,-27.492921653062734,False,False
5m,F03_mom4|bars,0.998264,6,136,-33.27245154372989,0.6169036702570716,-1.851883987215525,0.3746556473829201,1,-43.272451543729886,-33.47393898607912,False,False
5m,F03_mom4|bars,0.996528,6,259,-41.550482627735256,0.5295894511962952,-3.586631675297764,0.7134986225895317,0,-51.550482627735256,-41.77731956161382,False,False
5m,F03_mom4|bars,0.993056,6,494,-35.031931286445385,0.5538824652790227,-4.807176791270707,1.3608815426997245,0,-45.03193128644537,-35.118818169483085,False,False
5m,F03_mom4|bars,0.986111,6,956,-33.62154719454921,0.5200723384070737,-7.52870816946965,2.633608815426997,0,-43.6215471945492,-33.6415209613119,False,False
5m,F03_mom4|clock,0.998264,72,100,-59.91215908598896,0.6589202103237068,-1.4158258074585142,0.27548209366391185,1,-69.91215908598896,-63.84050496482809,False,False
5m,F03_mom4|clock,0.996528,72,159,-50.14764417358839,0.7002562973673492,-1.5620514969253998,0.4380165289256198,1,-60.1476441735884,-55.480476060528645,False,False
5m,F03_mom4|clock,0.993056,72,273,-13.418951613940516,0.9055797155624644,-0.5956232295189918,0.7520661157024794,1,-23.418951613940514,-15.979555947348688,False,False
5m,F03_mom4|clock,0.986111,72,429,-0.2939060346682128,0.997571058900383,-0.018541164207341327,1.1818181818181819,3,-10.293906034668213,-1.2251595381198233,False,False
5m,F04_rev1|bars,0.998264,4,256,-1.6677503890923904,0.9702722068591235,-0.151807430793844,0.7052341597796143,2,-11.667750389092388,-1.568066329132819,False,False
5m,F04_rev1|bars,0.996528,4,461,-4.847117535400226,0.9042568533053295,-0.7033899508386955,1.2699724517906337,3,-14.84711753540022,-4.810178384252528,False,False
5m,F04_rev1|bars,0.993056,4,846,-10.374656100660278,0.7913332314923782,-2.029247508555085,2.330578512396694,1,-20.374656100660268,-10.346210628109924,False,False
5m,F04_rev1|bars,0.986111,4,1582,-11.83277065636306,0.7372342092571541,-4.472275675655194,4.358126721763085,0,-21.832770656363053,-11.812552903368214,False,False
