family,q,hold,n,mean_bp,pf,t,per_day,folds_pos,mean15_bp,adj_bp,long_n,short_n,pass_rel,pass_std
F01_mom24,0.8,12,397,-15.776706925699019,0.899688510093029,-0.777574367605663,1.09366391184573,3,-25.77670692569901,-20.416760065359117,198,199,False,False
F01_mom24,0.9,12,216,-22.96519145222935,0.8750988688791967,-0.6230041964988623,0.5950413223140496,2,-32.96519145222935,-26.74938092222498,106,110,False,False
F01_mom24,0.95,12,111,7.239796781486015,1.0397769961822234,0.13482850820512662,0.30578512396694213,3,-2.760203218513988,5.244461342965616,59,52,False,False
F01_mom24,0.98,12,60,-82.01821151519557,0.6878409659857228,-1.0466894623644791,0.1652892561983471,2,-92.01821151519556,-83.55696883453747,38,22,False,False
F02_rev24,0.8,12,397,-24.223293074300997,0.8501129904126694,-1.1895529018283344,1.09366391184573,2,-34.22329307430099,-19.583239934640893,199,198,False,False
F02_rev24,0.9,12,216,-17.034808547770663,0.9054297175674644,-0.46137493259809,0.5950413223140496,2,-27.034808547770655,-13.250619077775028,110,106,False,False
F02_rev24,0.95,12,111,-47.23979678148605,0.7734609500241442,-0.8821264918523244,0.30578512396694213,3,-57.239796781486035,-45.24446134296563,52,59,False,False
F02_rev24,0.98,12,60,42.01821151519556,1.2143564614522526,0.5315938989154982,0.1652892561983471,4,32.01821151519557,43.556968834537436,22,38,False,False
F03_mom4,0.8,6,801,-1.4048689216122923,0.9866869469288888,-0.12760404566294428,2.206611570247934,3,-11.404868921612293,-3.303183476220612,410,391,False,False
F03_mom4,0.9,6,477,-5.478077000201481,0.9516830365203963,-0.37621420923186427,1.3140495867768596,3,-15.47807700020148,-7.573787309207711,245,232,False,False
F03_mom4,0.95,6,277,22.326310057625832,1.1988695115559513,0.9700314201172908,0.7630853994490359,4,12.326310057625832,21.244400606676653,138,139,False,False
F03_mom4,0.98,6,123,-50.840224401782656,0.6904948672515479,-1.5706825299992997,0.33884297520661155,1,-60.840224401782656,-53.18564892886972,67,56,False,False
F04_rev1,0.8,4,1151,-20.142569147645908,0.7971218016091522,-2.7051009781209943,3.1707988980716255,1,-30.142569147645904,-20.39722065551696,555,596,False,False
F04_rev1,0.9,4,744,-29.913980434815763,0.722683705060031,-3.1177167514805237,2.049586776859504,0,-39.91398043481576,-29.576126643345134,364,380,False,False
F04_rev1,0.95,4,449,-32.28548910776195,0.7198546723497741,-2.3954546771819376,1.2369146005509641,1,-42.28548910776193,-32.61497364765132,221,228,False,False
F04_rev1,0.98,4,203,-45.187438170255824,0.6441833479754785,-2.167998878008732,0.559228650137741,2,-55.187438170255824,-44.58885412307776,104,99,False,False
F05_rsi_rev,0.8,12,488,-35.49111902887465,0.7802785708303395,-1.9144661454556158,1.3443526170798898,1,-45.49111902887465,-30.794388877115445,250,238,False,False
