fw,id,name,tr_n,tr_pf,tr_mean,tr_t,va_n,va_pf,va_mean,va_t,tr_pd,va_pd,std,rel,tr_only_rel
r8_bear_adaptive,1814,TrappedFlow_Hs24_SL7,4,999.0,425.2,2.17,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1815,TrappedFlow_Hs24_SL8,4,999.0,425.2,2.17,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1816,TrappedFlow_Hs36_SL6,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1817,TrappedFlow_Hs36_SL7,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1818,TrappedFlow_Hs36_SL8,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1819,CombinedTrapped_Hs18_SL6,4,12.19,304.7,1.28,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1820,CombinedTrapped_Hs18_SL7,4,12.19,304.7,1.28,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1821,CombinedTrapped_Hs18_SL8,4,12.19,304.7,1.28,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1822,CombinedTrapped_Hs24_SL6,4,999.0,425.2,2.17,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1823,CombinedTrapped_Hs24_SL7,4,999.0,425.2,2.17,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1824,CombinedTrapped_Hs24_SL8,4,999.0,425.2,2.17,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1825,CombinedTrapped_Hs36_SL6,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1826,CombinedTrapped_Hs36_SL7,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1827,CombinedTrapped_Hs36_SL8,4,999.0,396.7,1.98,0,0.0,0.0,0.0,0.014652014652014652,0.0,False,False,False
r8_bear_adaptive,1828,Trapped_var1828,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1829,Trapped_var1829,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1830,Trapped_var1830,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1831,Trapped_var1831,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
r8_bear_adaptive,1832,Trapped_var1832,1,999.0,281.2,0.0,0,0.0,0.0,0.0,0.003663003663003663,0.0,False,False,False
