N,n_periods,mean_bp,sum_bp,win,pf,day_mean_bp,day_t,days_pos,sharpe,avg_funding_carry_bp,avg_price_spread_bp
5,818,-5.908461346967663,-4833.121381819548,0.4621026894865526,0.8966058801557235,-17.70374132534633,-0.9899940229826381,0.43956043956043955,-1.2395401187151138,4.586640342298288,0.09903034007390372
10,818,-6.501649803885369,-5318.349539578232,0.4559902200488998,0.8306130727882957,-19.481133844608905,-1.7775577206761128,0.4358974358974359,-2.1568547369293913,2.967617383863081,0.34124625968431344
15,818,-7.500668156332553,-6135.546551880028,0.43765281173594134,0.7483377298659164,-22.474529494066037,-2.9105888292384505,0.3956043956043956,-3.420228653204977,2.221889971475143,0.011753200635663113
20,818,-6.411878304265103,-5244.916452888854,0.4229828850855746,0.7368788005263547,-19.212148179080053,-3.0102836851419403,0.3956043956043956,-3.6548199094719456,1.8048366473105135,1.2368302806982234
