pair,issues,first,last,rows,gaps,max_gap,funding_first,funding_unmatched_by_mark,mark_missing_hours
CHZ_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
CKB_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
CLO_USDT_USDT,WARN 1/2034 funding rows have no mark row (dropped by freqtrade),2025-10-14 11:30:00+00:00,2026-08-31 23:55:00+00:00,92598,0,0 days 00:05:00,2025-10-14 08:00:00+00:00,1,0
COMP_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
COOKIE_USDT_USDT,,2025-01-07 11:30:00+00:00,2026-08-31 23:55:00+00:00,173238,0,0 days 00:05:00,2025-01-07 12:00:00+00:00,0,0
COTI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
COW_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
CRV_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
CYBER_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DAR_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DASH_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DEGEN_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DEXE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DOGE_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DOGS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DOT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DRIFT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DUSK_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DYDX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
DYM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
EDU_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
EGLD_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
EIGEN_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ENA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ENSO_USDT_USDT,WARN 1/2070 funding rows have no mark row (dropped by freqtrade),2025-10-14 09:00:00+00:00,2026-08-31 23:55:00+00:00,92628,0,0 days 00:05:00,2025-10-14 08:00:00+00:00,1,0
ENS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
EOS_USDT_USDT,,2025-01-01 00:00:00+00:00,2025-05-21 09:00:00+00:00,40429,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ETC_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ETHFI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ETH_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,174816,1,1 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FARTCOIN_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FET_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FIDA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FIL_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FLM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FLOW_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FORM_USDT_USDT,,2025-03-19 08:00:00+00:00,2026-08-31 23:55:00+00:00,152832,0,0 days 00:05:00,2025-03-19 08:00:00+00:00,0,0
FTM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
FUN_USDT_USDT,,2025-03-31 08:30:00+00:00,2026-08-31 23:55:00+00:00,149370,0,0 days 00:05:00,2025-03-31 12:00:00+00:00,0,0
GALA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GAS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GIGGLE_USDT_USDT,,2025-10-09 09:45:00+00:00,2026-08-31 23:55:00+00:00,94059,0,0 days 00:05:00,2025-10-09 12:00:00+00:00,0,0
GLM_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GMT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-30 23:55:00+00:00,174816,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GOAT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GRASS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
GRIFFAIN_USDT_USDT,,2025-01-02 13:30:00+00:00,2026-08-31 23:55:00+00:00,174654,0,0 days 00:05:00,2025-01-02 16:00:00+00:00,0,0
GRT_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HBAR_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HIFI_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HIGH_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HIPPO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HMSTR_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
HUMA_USDT_USDT,,2025-05-26 13:00:00+00:00,2026-08-31 23:55:00+00:00,133188,0,0 days 00:05:00,2025-05-26 16:00:00+00:00,0,0
HYPER_USDT_USDT,,2025-04-22 13:00:00+00:00,2026-08-31 23:55:00+00:00,142980,0,0 days 00:05:00,2025-04-22 16:00:00+00:00,0,0
HYPE_USDT_USDT,,2025-05-30 10:30:00+00:00,2026-08-31 23:55:00+00:00,132066,0,0 days 00:05:00,2025-05-30 12:00:00+00:00,0,0
H_USDT_USDT,,2025-06-25 09:30:00+00:00,2026-08-31 23:55:00+00:00,124590,0,0 days 00:05:00,2025-06-25 12:00:00+00:00,0,0
ICP_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
ID_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
IMX_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
INIT_USDT_USDT,,2025-04-16 06:30:00+00:00,2026-08-31 23:55:00+00:00,144786,0,0 days 00:05:00,2025-04-16 08:00:00+00:00,0,0
INJ_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
IOTA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
IO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
IP_USDT_USDT,,2025-02-13 17:00:00+00:00,2026-08-31 23:55:00+00:00,162516,0,0 days 00:05:00,2025-02-13 16:00:00+00:00,0,0
JASMY_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
JELLYJELLY_USDT_USDT,,2025-03-26 16:00:00+00:00,2026-08-31 23:55:00+00:00,150720,0,0 days 00:05:00,2025-03-26 16:00:00+00:00,0,0
JTO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
JUP_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
KAITO_USDT_USDT,,2025-02-20 13:00:00+00:00,2026-08-31 23:55:00+00:00,160548,0,0 days 00:05:00,2025-02-20 16:00:00+00:00,0,0
KAS_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
KAVA_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
KERNEL_USDT_USDT,,2025-04-14 12:00:00+00:00,2026-08-31 23:55:00+00:00,145008,1,1 days 00:05:00,2025-04-14 16:00:00+00:00,0,0
KITE_USDT_USDT,,2025-10-29 10:30:00+00:00,2026-08-31 23:55:00+00:00,88290,0,0 days 00:05:00,2025-10-29 12:00:00+00:00,0,0
LAB_USDT_USDT,,2025-10-17 14:30:00+00:00,2026-08-31 23:55:00+00:00,91698,0,0 days 00:05:00,2025-10-17 16:00:00+00:00,0,0
LAYER_USDT_USDT,,2025-02-11 15:45:00+00:00,2026-08-31 23:55:00+00:00,163107,0,0 days 00:05:00,2025-02-11 16:00:00+00:00,0,0
LA_USDT_USDT,,2025-06-05 09:00:00+00:00,2026-08-31 23:55:00+00:00,130356,0,0 days 00:05:00,2025-06-05 08:00:00+00:00,0,0
LDO_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
LEVER_USDT_USDT,,2025-01-01 00:00:00+00:00,2026-08-31 23:55:00+00:00,175104,0,0 days 00:05:00,2025-01-01 00:00:00+00:00,0,0
