round,name,n,mean_bp,med_bp,win,pf,day_t,per_day,status
551,FR Cum24h >0.2% Exhaust H=18,8027,18.04,-6.21,0.493,1.094,0.85,29.4,PROFITABLE
552,FR Cum24h >0.2% Exhaust H=24,6758,34.84,-3.55,0.497,1.165,1.37,24.75,PROFITABLE
553,FR Cum24h >0.3% Exhaust H=18,2385,22.18,-34.45,0.468,1.087,0.83,8.74,PROFITABLE
554,FR Cum24h >0.3% Exhaust H=24,1984,29.26,-51.7,0.458,1.103,0.9,7.27,PROFITABLE
555,FR Cum24h >0.4% Exhaust H=18,1835,29.63,-38.89,0.467,1.114,1.03,6.72,PROFITABLE
556,FR Cum24h >0.4% Exhaust H=24,1514,27.81,-53.99,0.454,1.096,0.79,5.55,PROFITABLE
557,FR Cum48h >0.2% Exhaust H=18,18944,20.02,-1.03,0.499,1.102,0.79,69.39,PROFITABLE
558,FR Cum48h >0.2% Exhaust H=24,15453,32.97,-0.68,0.5,1.152,1.18,56.6,PROFITABLE
559,FR Cum48h >0.3% Exhaust H=18,9877,19.15,-6.41,0.494,1.098,0.79,36.18,PROFITABLE
560,FR Cum48h >0.3% Exhaust H=24,8087,31.67,0.39,0.5,1.148,1.22,29.62,PROFITABLE
561,FR Cum48h >0.4% Exhaust H=18,6786,31.28,-2.74,0.498,1.162,1.31,24.86,PROFITABLE
562,FR Cum48h >0.4% Exhaust H=24,5647,51.71,15.09,0.513,1.245,1.84,20.68,PASS_TRAIN
563,FR Cum72h >0.2% Exhaust H=18,22736,7.26,-9.83,0.49,1.036,0.29,83.28,PROFITABLE
564,FR Cum72h >0.2% Exhaust H=24,18312,17.24,-13.71,0.488,1.077,0.63,67.08,PROFITABLE
565,FR Cum72h >0.3% Exhaust H=18,18147,14.06,-8.15,0.491,1.07,0.53,66.47,PROFITABLE
566,FR 3-Period >3bp H=18,524,-10.52,-89.67,0.439,0.964,-0.26,1.92,REJECT
567,FR 3-Period >3bp H=24,447,-18.39,-118.04,0.434,0.947,-0.37,1.64,REJECT
568,FR 3-Period >3bp H=36,372,-2.39,-115.92,0.427,0.994,-0.04,1.36,REJECT
569,FR 3-Period >4bp H=18,368,-2.1,-88.53,0.448,0.993,-0.04,1.35,REJECT
570,FR 3-Period >4bp H=24,311,-7.35,-119.83,0.434,0.98,-0.11,1.14,REJECT
571,FR 3-Period >4bp H=36,256,-15.54,-147.92,0.414,0.961,-0.21,0.94,REJECT
572,FR 3-Period >5bp H=18,278,-15.74,-128.02,0.417,0.953,-0.25,1.02,REJECT
573,FR 3-Period >5bp H=24,237,-4.99,-127.11,0.405,0.987,-0.06,0.87,REJECT
574,FR 3-Period >5bp H=36,194,-33.72,-167.81,0.423,0.925,-0.36,0.71,REJECT
575,FR 4-Period >3bp H=18,377,-33.78,-94.94,0.419,0.885,-0.84,1.38,REJECT
576,FR 4-Period >3bp H=24,321,-45.45,-112.08,0.393,0.871,-0.85,1.18,REJECT
577,FR 4-Period >3bp H=36,260,-91.01,-156.6,0.4,0.793,-1.29,0.95,REJECT
578,FR 4-Period >4bp H=18,261,-49.98,-97.15,0.421,0.832,-1.0,0.96,REJECT
579,FR 4-Period >4bp H=24,221,-62.1,-112.08,0.407,0.83,-0.9,0.81,REJECT
580,FR 4-Period >4bp H=36,178,-75.64,-158.17,0.41,0.836,-0.87,0.65,REJECT
581,FR Z-Score 7d >2.0 H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
582,FR Z-Score 7d >2.0 H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
583,FR Z-Score 7d >2.0 H=36,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
584,FR Z-Score 7d >2.5 H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
585,FR Z-Score 7d >2.5 H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
586,FR Z-Score 7d >2.5 H=36,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
587,FR Z-Score 7d >3.0 H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
588,FR Z-Score 7d >3.0 H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
589,FR Z-Score 7d >3.0 H=36,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
590,FR Z-Score 14d >2.0 H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
591,FR Z-Score 14d >2.0 H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
592,FR Z-Score 14d >2.0 H=36,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
593,FR Z-Score 14d >2.5 H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
594,FR Z-Score 14d >2.5 H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
595,FR Z-Score 14d >2.5 H=36,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
596,FR Div SpotRally ret>3% H=18,3632,-21.39,-77.59,0.431,0.918,-0.67,13.3,REJECT
597,FR Div LongTrap ret<-3% H=18,195,122.45,46.48,0.533,1.414,1.16,0.71,PROFITABLE
598,FR Div SpotRally ret>3% H=24,3156,-22.83,-96.89,0.42,0.922,-0.56,11.56,REJECT
599,FR Div LongTrap ret<-3% H=24,178,175.0,75.06,0.551,1.605,1.55,0.65,PASS_TRAIN
600,FR Div SpotRally ret>4% H=18,3156,-19.99,-82.66,0.432,0.927,-0.58,11.56,REJECT
601,FR Div LongTrap ret<-4% H=18,171,100.63,69.41,0.544,1.305,0.89,0.63,PROFITABLE
602,FR Div SpotRally ret>4% H=24,2744,-27.55,-119.54,0.409,0.911,-0.61,10.05,REJECT
603,FR Div LongTrap ret<-4% H=24,154,164.05,89.2,0.565,1.498,1.27,0.56,PROFITABLE
604,FR Div SpotRally ret>5% H=18,2703,-12.58,-87.22,0.439,0.955,-0.35,9.9,REJECT
605,FR Div LongTrap ret<-5% H=18,150,59.7,43.82,0.527,1.159,0.47,0.55,PROFITABLE
606,FR Div SpotRally ret>5% H=24,2348,-21.6,-120.99,0.416,0.932,-0.45,8.6,REJECT
607,FR Div LongTrap ret<-5% H=24,136,113.02,54.04,0.544,1.294,0.77,0.5,PROFITABLE
608,FR Div Variant 608,2348,-21.6,-120.99,0.416,0.932,-0.45,8.6,REJECT
609,FR Div Variant 609,2348,-21.6,-120.99,0.416,0.932,-0.45,8.6,REJECT
610,FR Div Variant 610,2348,-21.6,-120.99,0.416,0.932,-0.45,8.6,REJECT
611,FR Discount Breakout fr<0.0001 H=18,19502,0.22,-20.0,0.479,1.001,0.01,71.44,PROFITABLE
612,FR Discount Breakout fr<0.0001 H=24,17395,-0.28,-28.83,0.477,0.999,-0.01,63.72,REJECT
613,FR Discount Breakout fr<0.0001 H=36,14439,-2.64,-55.58,0.461,0.991,-0.06,52.89,REJECT
614,FR Discount Breakout fr<0.0 H=18,12671,7.04,-11.72,0.488,1.033,0.21,46.41,PROFITABLE
615,FR Discount Breakout fr<0.0 H=24,11577,8.36,-16.46,0.487,1.036,0.25,42.41,PROFITABLE
616,FR Discount Breakout fr<0.0 H=36,10164,8.34,-36.7,0.477,1.028,0.17,37.23,PROFITABLE
617,FR Discount Breakout fr<-0.0001 H=18,1162,73.4,-0.39,0.499,1.29,1.78,4.26,PASS_TRAIN
618,FR Discount Breakout fr<-0.0001 H=24,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
619,FR Discount Breakout fr<-0.0001 H=36,1037,100.85,-28.67,0.483,1.301,1.37,3.8,PROFITABLE
620,FR Discount Variant 620,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
621,FR Discount Variant 621,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
622,FR Discount Variant 622,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
623,FR Discount Variant 623,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
624,FR Discount Variant 624,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
625,FR Discount Variant 625,1117,67.83,-19.07,0.488,1.236,1.29,4.09,PROFITABLE
626,FR Accel>2.0x Follow H=12,13639,-15.05,-27.25,0.464,0.916,-0.8,49.96,REJECT
627,FR Accel>2.0x Follow H=18,12547,-17.48,-30.81,0.467,0.921,-0.68,45.96,REJECT
628,FR Accel>2.0x Follow H=24,11828,-18.96,-45.81,0.463,0.925,-0.68,43.33,REJECT
629,FR Accel>2.5x Follow H=12,10822,-13.91,-26.66,0.465,0.924,-0.66,39.64,REJECT
630,FR Accel>2.5x Follow H=18,10067,-14.28,-28.66,0.47,0.936,-0.49,36.88,REJECT
631,FR Accel>2.5x Follow H=24,9621,-13.83,-40.96,0.466,0.946,-0.45,35.24,REJECT
632,FR Accel>3.0x Follow H=12,8356,-19.01,-31.45,0.461,0.899,-0.8,30.61,REJECT
633,FR Accel>3.0x Follow H=18,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
634,FR Accel>3.0x Follow H=24,7566,-18.65,-43.92,0.464,0.93,-0.52,27.71,REJECT
635,FR Accel Variant 635,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
636,FR Accel Variant 636,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
637,FR Accel Variant 637,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
638,FR Accel Variant 638,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
639,FR Accel Variant 639,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
640,FR Accel Variant 640,7842,-16.69,-25.67,0.472,0.928,-0.49,28.73,REJECT
641,FR Carry SL=2.0% TP=4.0% H=24,6064,-29.28,-220.0,0.322,0.802,-6.25,22.21,REJECT
642,FR Carry SL=2.0% TP=4.0% H=36,6021,-29.8,-220.0,0.319,0.8,-6.25,22.05,REJECT
643,FR Carry SL=2.5% TP=5.0% H=24,4873,-27.84,-270.0,0.331,0.843,-4.27,17.85,REJECT
644,FR Carry SL=2.5% TP=5.0% H=36,4823,-28.41,-270.0,0.326,0.842,-4.22,17.67,REJECT
645,FR Carry SL=3.0% TP=6.0% H=24,4049,-28.0,-320.0,0.338,0.864,-3.36,14.83,REJECT
