round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
85,MTF RSI Dip + SL/TP (1:2),290,-30.39,-220.0,0.334,0.788,-0.64,1.06,REJECT,99,-22.67,-220.0,0.354,0.831,-0.44,1.1,REJECT
86,MTF RSI>75 Short in 1d Bear,1912,-200.81,-91.3,0.398,0.403,-2.05,7.0,REJECT,1316,-8.28,23.22,0.522,0.959,-0.15,14.62,REJECT
87,MTF BB Upper Reject in 4h Bear,2018,12.64,35.54,0.551,1.072,0.34,7.39,PROFITABLE,668,-22.34,55.8,0.555,0.887,-0.32,7.42,REJECT
88,MTF Chop-Gated BB Fade,9682,-22.25,-20.0,0.472,0.872,-1.33,35.47,REJECT,2644,-30.89,-20.0,0.471,0.786,-1.11,29.38,REJECT
89,MTF RSI Bullish Divergence,160,-103.21,-132.48,0.412,0.562,-1.29,0.59,REJECT,26,-20.21,-11.18,0.5,0.868,-0.2,0.29,REJECT
90,MTF CMF<-0.25 Snap in 1d Bull,1260,-33.67,-41.68,0.473,0.845,-0.64,4.62,REJECT,154,-120.87,-151.65,0.318,0.593,-2.0,1.71,REJECT
91,Top-Trader LS Div Accumulation,6476,-21.2,-61.32,0.449,0.913,-0.48,23.72,REJECT,1206,-74.22,-79.0,0.418,0.671,-1.09,13.4,REJECT
92,Top-Trader LS Surge + Taker Flow,3064,-82.96,-43.4,0.461,0.72,-1.34,11.22,REJECT,743,-28.93,-41.42,0.452,0.868,-0.71,8.26,REJECT
93,Taker Buy 4h Surge >65%,70,-5.37,-35.85,0.429,0.962,-0.1,0.26,REJECT,171,60.78,43.85,0.532,1.594,1.71,1.9,PASS_VALID
94,Taker Climax Exhaustion Fade,6,35.92,-56.01,0.333,1.697,0.5,0.02,PROFITABLE,11,50.77,16.74,0.636,1.588,0.56,0.12,PROFITABLE
95,Quote Vol Breakout + 4h Trend,6543,-42.84,-99.27,0.421,0.856,-0.92,23.97,REJECT,3147,-117.73,-128.7,0.359,0.517,-2.71,34.97,REJECT
96,Retail Count Frenzy Fade,7,-1858.27,55.19,0.571,0.083,-1.11,0.03,REJECT,3,256.94,312.88,0.667,3.92,0.9,0.03,PROFITABLE
97,Inst Block Flow Follow,220,85.47,-23.34,0.473,1.464,1.37,0.81,PROFITABLE,160,11.09,26.71,0.531,1.065,0.23,1.78,PROFITABLE
98,Taker Flow 3-Bar Persistence,587,9.86,-16.33,0.48,1.069,0.36,2.15,PROFITABLE,505,30.58,10.67,0.511,1.256,1.1,5.61,PROFITABLE
99,RVOL 5x Explosion Breakout,3723,22.89,-9.14,0.491,1.09,0.47,13.64,PROFITABLE,2077,-76.66,-51.3,0.439,0.658,-1.86,23.08,REJECT
100,Top-Trader LS 24h Delta Mom,14158,-11.44,-26.9,0.475,0.953,-0.46,51.86,REJECT,2521,-47.92,-44.17,0.452,0.782,-1.68,28.01,REJECT
101,Top-Trader Short Squeeze Hunter,164,89.85,-23.93,0.463,1.415,1.09,0.6,PROFITABLE,105,36.65,-92.84,0.41,1.172,0.48,1.17,PROFITABLE
102,Volume Climax Absorption Pin,824,191.48,-0.39,0.5,2.073,0.89,3.02,PROFITABLE,422,527.31,438.62,0.791,10.526,1.32,4.69,PROFITABLE
103,Low-Vol Breakout Fade Short,748,56.59,56.06,0.552,1.399,0.75,2.74,PROFITABLE,173,32.19,79.28,0.601,1.261,0.35,1.92,PROFITABLE
104,Heavy Sell Volume Trap Reclaim,130,126.08,-24.78,0.477,1.592,0.94,0.48,PROFITABLE,54,-43.32,-57.63,0.407,0.799,-0.46,0.6,REJECT
105,Taker Flow Reversal in Oversold,73,0.27,60.29,0.534,1.001,0.0,0.27,PROFITABLE,90,107.04,67.73,0.656,2.683,2.28,1.0,PASS_VALID
106,Taker Surge + ATR Expansion,296,64.56,44.35,0.534,1.493,1.47,1.08,PROFITABLE,284,-78.72,-64.22,0.391,0.546,-2.56,3.16,REJECT
107,Top-Trader + 4h SuperTrend Bull,10393,-68.19,-79.85,0.434,0.756,-1.78,38.07,REJECT,2679,-100.09,-123.68,0.371,0.575,-1.89,29.77,REJECT
108,Top-Trader + 4h SuperTrend Bear,311,-153.43,-46.93,0.463,0.54,-2.56,1.14,REJECT,424,39.91,63.11,0.561,1.236,0.84,4.71,PROFITABLE
109,Volume Surge 50-EMA Breakout,1587,-7.18,-44.13,0.459,0.971,-0.16,5.81,REJECT,812,-81.11,-62.11,0.42,0.576,-2.03,9.02,REJECT
110,Volume Weighted Momentum Thrust,8218,-4.44,-61.74,0.452,0.984,-0.1,30.1,REJECT,3141,-87.76,-92.1,0.41,0.625,-1.84,34.9,REJECT
111,BBW 7d Compression Breakout,3882,-29.57,-27.54,0.473,0.874,-0.7,14.22,REJECT,1355,-22.96,-6.67,0.491,0.86,-0.61,15.06,REJECT
112,ATR Ratio Compression Break,182,-48.75,-44.32,0.451,0.815,-0.71,0.67,REJECT,160,-268.37,-264.42,0.212,0.225,-1.94,1.78,REJECT
