hold_m,n,mean_bp,med_bp,win,pf,days,day_mean_bp,day_t,days_pos,tr_days,per_day
60,41630,-22.23,-26.76,0.383,0.663,273,-26.08,-9.89,0.231,273,152.49084249084248
120,36570,-17.73,-26.8,0.411,0.78,273,-22.08,-5.81,0.289,273,133.95604395604394
240,31674,-18.32,-28.0,0.432,0.821,273,-23.35,-4.2,0.352,273,116.02197802197803
