pair,beta_is,corr_is,idio_is,rbstd_is,spread_vol_is,n_is,beta_oos,corr_oos,idio_oos,rbstd_oos,spread_vol_oos,n_oos,liq
1000000BOBUSDT,0.9127647099608087,0.3269973066615457,0.8930727614360943,0.18062615436204668,0.01796895178613372,3567,0.7467684142524719,0.40818880116667194,0.8333819026021173,0.22257835815551333,0.010816242882106863,6936,1006101.609525
1000000MOGUSDT,1.6884958855338736,0.7311413703865666,0.4654322965092538,0.08807123803703694,0.012290241154154603,7295,1.213121595923823,0.6831573922297174,0.5332959774418959,0.17792961226457188,0.008400751653835989,6936,6342305.43044
1000BONKUSDC,1.2168107708861022,0.6651410593151382,0.5575873712131323,0.07062214502242739,0.010656123626642665,7295,1.1001185196087009,0.7241763389619041,0.4755686300877303,0.12352066580791822,0.006787960860541065,6936,6720379.48625
1000BONKUSDT,1.2139892802736452,0.6637851699478239,0.55938924815734,0.07163355017083181,0.010670330274767182,7295,1.1046903132700518,0.7246215295974628,0.47492363884383093,0.12251789412774779,0.006807354597231965,6936,67557337.696322
1000CATUSDT,1.2187655571318987,0.6181229798010753,0.6179239818418413,0.13012175734521045,0.012090556933758854,7295,0.9842096786330282,0.617304636369085,0.6189349859172306,0.1819785810436375,0.00812707186749522,6936,4355850.901877
1000CHEEMSUSDT,0.6074313023253698,0.30126496244286033,0.9092394224043028,0.4059344122125168,0.014997579399608163,7295,0.7135023682015378,0.4856237721850226,0.764169551888789,0.29379078777508705,0.008322065661783609,6936,3139456.7133391
1000FLOKIUSDT,1.1470555540831275,0.706982789467026,0.5001753353974222,0.09999708123308033,0.008950972952967543,7295,1.0409628705940872,0.7789884022417369,0.39317706917286377,0.14800125788307406,0.005429231913782023,6936,25190012.17531
1000LUNCUSDT,0.7885965649386847,0.6574299598128255,0.5677858479405082,0.16461476795244476,0.00705068268239749,7295,0.7327760437718359,0.38889107487558106,0.8487637318821178,0.21699818371267213,0.011248013100160721,6936,8267145.42346
1000PEPEUSDC,1.2409199599196077,0.791846723073289,0.37297876715809325,0.11997019788682195,0.007465831763222814,7295,1.07461221774025,0.7585869893634232,0.42454577956853967,0.12062248305635108,0.005980492732185251,6936,29519637.7495735
1000PEPEUSDT,1.240297425583561,0.794827570354776,0.36824913340392423,0.11778581190778045,0.00738681605011608,7295,1.0735184286229635,0.757846580952656,0.42566855973836726,0.12131751866562557,0.0059881272203318936,6936,478311295.026609
